id|codigo|nome|max(ects)|uo_id|ac_id
0|18101|MANUTENÇÃO ELETROMECÂNICA|6|0|16
0|18129|DIREITO EMPRESARIAL E FISCAL|6|0|16
0|40807|MATERIAIS E SUSTENTABILIDADE|6|0|16
0|43332|OBRAS HIDRÁULICAS E SANITÁRIAS|6|0|16
0|45825|FINANÇAS I|6|0|16
0|49978|PROJECTO E PRODUÇÃO ASSISTIDA POR COMPUTADOR|6|0|16
0|81466|FINANÇAS EMPRESARIAIS II|6|0|16
0|18089|DESENHO E IMPLEMENTAÇÃO DE BASES DE DADOS|6|0|16
0|18147|GESTÃO DAS ORGANIZAÇÕES E EMPREENDEDORISMO|6|0|16
0|18165|INFORMÁTICA INDUSTRIAL APLICADA|6|0|16
0|41133|TEORIAS DA LITERATURA|6|0|16
0|41787|APRENDIZAGEM APLICADA À SEGURANÇA|6|0|16
0|42043|RESISTÊNCIA DE MATERIAIS I|6|0|16
0|42115|ECONOMIA DA SAÚDE|6|0|16
0|43485|LITERACIAS:LEITURA ESCRITA|6|0|16
0|46802|ÁRABE I|6|0|16
0|81432|INTRODUÇÃO AOS MÉTODOS QUANTITATIVOS|6|0|16
0|90092|INGLÊS - LÍNGUA|6|0|16
0|90126|MECÂNICA DOS FLUIDOS|3|0|16
0|18005|ARQUITETURAS E PROTOCOLOS DE COMUNICAÇÃO|6|0|16
0|41523|FUNDAMENTOS DE ESTATÍSTICA MÉDICA|6|0|16
0|42707|ANÁLISE MATEMÁTICA II|8|0|16
0|81511|CONTABILIDADE PARA O CONTROLO DE GESTÃO|6|0|16
0|90357|PROJETO TEMÁTICO EM CONCEÇÃO E PRODUÇÃO ASSISTIDA POR COMPUTADOR|9|0|16
0|18117|INGLÊS TÉCNICO|6|0|16
0|40559|RACIOCÍNIO E TOMADA DE DECISÃO|6|0|16
0|41579|TECNOLOGIAS DA COMUNICAÇÃO EM EDUCAÇÃO|8|0|16
0|41952|ARQUITETURA DE COMPUTADORES II|6|0|16
0|43250|TEORIA ALGÉBRICA DAS INVERSAS GENERALIZADAS|3|0|16
0|47516|CRIPTOGRAFIA E SEGURANÇA|6|0|16
0|47844|TERRITÓRIO, POLÍTICA REGIONAL E INOVAÇÃO|6|0|16
0|18132|GESTÃO DE PESSOAS|6|0|16
0|40148|MÚSICA, CRIATIVIDADE E EDUCAÇÃO|6|0|16
0|41802|PROJETOS DE INTERVENÇÃO EDUCACIONAL II|6|0|16
0|45449|POLUIÇÃO, DIAGNÓSTICO E ECOLOGIA APLICADA|6|0|16
0|45711|GESTÃO DE MARKETING|6|0|16
0|46713|FORMAÇÃO AUDITIVA A|4|0|16
0|47268|TEORIA DAS ORGANIZAÇÕES|6|0|16
0|47606|GEOTECNIA RODOVIÁRIA E PAVIMENTAÇÃO|6|0|16
0|47775|QUÍMICA MEDICINAL|6|0|16
0|47915|DINÂMICA DE ESTRUTURAS E ENGENHARIA SÍSMICA|6|0|16
0|90351|PROJETO TEMÁTICO EM ELETRÓNICA E INSTRUMENTAÇÃO|9|0|16
0|17560|FUNDAMENTOS DE PROGRAMAÇÃO|6|0|16
0|41888|MODELAÇÃO, SIMULAÇÃO E OPTIMIZAÇÃO EM PROCESSOS DE MANUFATURA  ADITIVA|6|0|16
0|42344|COGNIÇÃO COMPARADA|6|0|16
0|47055|CONTABILIDADE ANALÍTICA|6|0|16
0|47517|CRÍTICA DE ARTE|6|0|16
0|47823|TÉCNICAS DE CARACTERIZAÇÃO DE MATERIAIS|6|0|16
0|81544|ESTUDOS DE MERCADO|6|0|16
0|82114|GESTÃO ORÇAMENTAL|6|0|16
0|90224|DIREITO COMERCIAL|6|0|16
0|90421|FONTES DE INFORMAÇÃO PARA A QUALIDADE|6|0|16
0|40395|BIOLOGIA MOLECULAR|6|0|16
0|47935|A EDIÇÃO NA ACTUALIDADE|6|0|16
0|81469|COMPLEMENTOS DE CONTABILIDADE DE GESTÃO|6|0|16
0|90404|GESTÃO DA CADEIA DE ABASTECIMENTO|6|0|16
0|18166|PRINCÍPIOS DE GESTÃO E ORGANIZAÇÃO INDUSTRIAL|6|0|16
0|40717|DIDÁTICA DA LÍNGUA PORTUGUESA NOS PRIMEIROS ANOS|6|0|16
0|40840|ILUSTRAÇÃO E PROJETO|6|0|16
0|42036|TECNOLOGIAS DIGITAIS DE APOIO AO PROJETO|6|0|16
0|48091|AVALIAÇÃO INSTITUCIONAL E GESTÃO DO DESEMPENHO|6|0|16
0|18096|ESTRUTURAS E PROPRIEDADES DOS MATERIAIS|6|0|16
0|18127|PRINCIPIOS DE ECONOMIA|6|0|16
0|41201|INTRODUÇÃO À ECONOMIA|6|0|16
0|41509|ELECTRÓNICA DE TELECOMUNICAÇÕES|6|0|16
0|41989|LABORATÓRIO DE ELETRÓNICA|6|0|16
0|42027|ANÁLISE E PREVENÇÃO DE RISCOS NO PATRIMÓNIO EDIFICADO|6|0|16
0|44848|SISTEMAS DE INFORMAÇÃO|6|0|16
0|45455|AVALIAÇÃO EDUCACIONAL|6|0|16
0|90170|SISTEMAS DIGITAIS|3|0|16
0|90186|WEB DESIGN|6|0|16
0|40552|MODELOS TEÓRICOS EM PSICOLOGIA I: DINÂMICOS E SISTÉMICOS|6|0|16
0|40962|PSICOSSOCIOLOGIA E ÉTICA ORGANIZACIONAL|6|0|16
0|42246|BACIAS SEDIMENTARES|6|0|16
0|42431|MULTIMÉDIA II|6|0|16
0|43345|MATEMÁTICAS GERAIS I|6|0|16
0|90279|GESTÃO DA PRODUÇÃO|6|0|16
0|17552|PATRIMÓNIO CULTURAL E NATURAL|6|0|16
0|41646|PROJECTO EM DESIGN BÁSICO|12|0|16
0|43210|INSTRUMENTAÇÃO PARA FÍSICA MÉDICA|6|0|16
